Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
1 month	300-400%	Single-Family Detached	0.12135	0.0421429	0.016435	0.132281	0.0644442	0.0374088	0.585938	0	32	81989.6	32	81989.6
1 week	300-400%	Single-Family Detached	0.0468426	0.0471693	0.0696031	0.0360142	0.0433143	0	0.757056	0	23	59888.3	23	59888.3
2 weeks	300-400%	Single-Family Detached	0.101217	0.0159597	0.0164232	0.0500944	0	0	0.816306	0	24	61995.1	24	61995.1
3 days	300-400%	Single-Family Detached	0.108613	0.0244923	0	0.0244942	0.0920796	0	0.750321	0	34	117287	34	117287
3 months	300-400%	Single-Family Detached	0	0.111946	0.0562592	0.00603037	0.0641449	0.189344	0.572275	0	21	47093.2	21	47093.2
Never	300-400%	Single-Family Detached	0.00175024	0.000431142	0.00250447	0.00139322	0.00347893	0.00144857	0.987596	0.00139693	2888	1.03198e+07	2888	1.03198e+07
Year round	300-400%	Single-Family Detached	0	0.0748331	0.0119931	0	0	0	0.672521	0.240653	11	27050.5	11	27050.5
1 day	400%+	Single-Family Detached	0.146952	0	0	0	0.0598699	0	0.793178	0	28	127829	28	127829
1 month	400%+	Single-Family Detached	0	0.103131	0.0471875	0.024156	0.0149795	0.0162347	0.786149	0.00816172	29	107359	29	107359
1 week	400%+	Single-Family Detached	0.026104	0.0220023	0.077158	0.0418455	0.0983499	0.0247814	0.687083	0.0226762	32	111111	32	111111
2 weeks	400%+	Single-Family Detached	0	0	0.0159435	0	0.0159435	0.0475739	0.90656	0.0139791	28	104469	28	104469
3 days	400%+	Single-Family Detached	0.0569762	0.0211052	0.0285105	0.0351754	0.0329505	0	0.803531	0.0217516	36	115834	36	115834
3 months	400%+	Single-Family Detached	0.0144084	0.035093	0.0781783	0.0290105	0.0560302	0.035093	0.752187	0	22	89394	22	89394
Never	400%+	Single-Family Detached	0.00134717	0.000150466	0.00115864	0.000807368	0.00223806	0.000358878	0.993657	0.000282053	7004	3.66062e+07	7004	3.66062e+07
Year round	400%+	Single-Family Detached	0	0	0.00969803	0	0	0.0162158	0.603756	0.370331	16	44581.2	16	44581.2
1 day	Not Available	Single-Family Detached	0.198304	0.0112187	0.0202658	0.0144994	0.137346	0.000976604	0.617389	0	92	437965	92	437965
1 month	Not Available	Single-Family Detached	0.108587	0.0904472	0.0448559	0.0816896	0.0635378	0.025165	0.5832	0.00251758	149	684673	149	684673
1 week	Not Available	Single-Family Detached	0.0805175	0.0246162	0.0782177	0.0630895	0.154609	0.00443738	0.590453	0.00406042	127	620518	127	620518
2 weeks	Not Available	Single-Family Detached	0.021419	0.0438573	0.0870271	0.041342	0.103947	0.0312178	0.649421	0.0217681	103	516676	103	516676
3 days	Not Available	Single-Family Detached	0.106907	0.00691795	0.0362257	0.0129133	0.213494	0.00542165	0.612274	0.00584667	170	807287	170	807287
3 months	Not Available	Single-Family Detached	0.0274068	0.0678432	0.0415389	0.0658824	0.0470564	0.149975	0.541789	0.0585076	103	467856	103	467856
Never	Not Available	Single-Family Detached	0.00282289	0.001677	0.00320101	0.00205647	0.00444786	0.00139516	0.983039	0.00136026	11808	7.3316e+07	11808	7.3316e+07
Year round	Not Available	Single-Family Detached	0.000289047	0.0130889	0.00349215	0	0.000289047	0.118048	0.50057	0.364223	45	216706	45	216706
