Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	fallback_count	fallback_weight
East North Central	Mobile Home	0-1499	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	1	1940-59	0	0	0	1	30	14069.9	30	14069.9
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	1	1940-59	0	0	0	1	11	4107.11	11	4107.11
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	2	1940-59	0	0	0	1	30	14069.9	30	14069.9
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	2	1940-59	0	0	0	1	11	4107.11	11	4107.11
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	3	1940-59	0	0	0	1	30	14069.9	30	14069.9
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	3	1940-59	0	0	0	1	11	4107.11	11	4107.11
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	4+	1940-59	0	0	0	1	30	14069.9	30	14069.9
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	4+	1940-59	0	0	0	1	11	4107.11	11	4107.11
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Slab	1	1940-59	0	0	0	1	37	16038.9	37	16038.9
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	1	1940-59	0	0	0	1	4	1636.45	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Slab	1	1940-59	0	0	0	1	0	0	0	0
