Input Name,Input Description,Data Type
build_existing_model.utility_bill_pv_net_metering_annual_excess_sellback_rates,"Utility bill PV net metering annual excess sellback rates. Only applies if the PV compensation type is 'NetMetering' and the PV annual excess sellback rate type is 'User-Specified'. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_scenario_names,"Names of utility bill scenarios. If multiple scenarios, use a comma-separated list. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_simple_filepaths,"Relative paths of simple utility rates. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. Files must contain the name of the Parameter as the column header.",string
build_existing_model.utility_bill_wood_fixed_charges,"Wood utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_wood_marginal_rates,"Wood utility bill marginal rates. If multiple scenarios, use a comma-separated list.",string
build_existing_model.weather_file_city,City from the EPW weather file.,string
build_existing_model.weather_file_latitude,Latitude from the EPW weather file.,float
build_existing_model.weather_file_longitude,Longitude from the EPW weather file.,float
build_existing_model.heating_unavailable_period,Heating unavailable period.,string
build_existing_model.cooling_unavailable_period,Cooling unavailable period.,string
build_existing_model.electric_panel_service_rating,The service rating capacity value corresponding to the bin.,float
build_existing_model.electric_panel_service_rating_bin,The sampled service rating capacity bin of the electric panel.,string
build_existing_model.unit_height_above_grade,Height of the lowest conditioned floor above grade for the unit.,float
apply_upgrade.applicable,The measure was applied to the workflow.,bool
apply_upgrade.upgrade_name,User-specificed name that describes the upgrade.,string
apply_upgrade.reference_scenario,The upgrade_name which should act as a reference to this upgrade to calculate savings.,string
report_simulation_output.applicable,The measure was applied to the workflow.,bool
report_simulation_output.output_format,"The file format of the annual (and timeseries, if requested) outputs. If 'csv_dview' is selected, the timeseries CSV file will include header rows that facilitate opening the file in the DView application.",string
report_simulation_output.timeseries_frequency,The frequency at which to report timeseries output data. Using 'none' will disable timeseries outputs.,string
report_simulation_output.include_annual_total_consumptions,Generates annual energy consumptions for the total building.,bool
report_simulation_output.include_annual_fuel_consumptions,Generates annual energy consumptions for each fuel type.,bool
report_simulation_output.include_annual_end_use_consumptions,Generates annual energy consumptions for each end use.,bool
report_simulation_output.include_annual_system_use_consumptions,Generates annual energy consumptions for each end use of each HVAC and water heating system.,bool
report_simulation_output.include_annual_emissions,Generates annual emissions. Requires the appropriate HPXML inputs to be specified.,bool
report_simulation_output.include_annual_emission_fuels,Generates annual emissions for each fuel type. Requires the appropriate HPXML inputs to be specified.,bool
report_simulation_output.include_annual_emission_end_uses,Generates annual emissions for each end use. Requires the appropriate HPXML inputs to be specified.,bool
report_simulation_output.include_annual_total_loads,"Generates annual heating, cooling, and hot water loads.",bool
report_simulation_output.include_annual_unmet_hours,Generates annual unmet hours for heating and cooling.,bool
report_simulation_output.include_annual_peak_fuels,Generates annual electricity peaks for summer/winter.,bool
report_simulation_output.include_annual_peak_loads,Generates annual peak loads for heating/cooling.,bool
report_simulation_output.include_annual_component_loads,Generates annual heating and cooling loads disaggregated by component type.,bool
report_simulation_output.include_annual_hot_water_uses,Generates annual hot water usages for each end use.,bool
report_simulation_output.include_annual_hvac_summary,"Generates HVAC capacities, design temperatures, and design loads.",bool
report_simulation_output.include_annual_panel_summary,Generates electric panel breaker spaces and loads.,bool
report_simulation_output.include_annual_resilience,Generates annual resilience outputs.,bool
report_simulation_output.include_timeseries_total_consumptions,Generates timeseries energy consumptions for the total building.,bool
report_simulation_output.include_timeseries_fuel_consumptions,Generates timeseries energy consumptions for each fuel type.,bool
report_simulation_output.include_timeseries_end_use_consumptions,Generates timeseries energy consumptions for each end use.,bool
report_simulation_output.include_timeseries_system_use_consumptions,Generates timeseries energy consumptions for each end use of each HVAC and water heating system.,bool
report_simulation_output.include_timeseries_emissions,Generates timeseries emissions. Requires the appropriate HPXML inputs to be specified.,bool
report_simulation_output.include_timeseries_emission_fuels,Generates timeseries emissions for each fuel type. Requires the appropriate HPXML inputs to be specified.,bool
