zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01138,Springfield,MA,42.087,-72.563,northern,5A,-5,744910,12.80615848,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01139,Springfield,MA,42.1167,-72.5465,northern,5A,-5,744910,9.329141044,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01144,Springfield,MA,42.1032,-72.5916,northern,5A,-5,744910,11.79801384,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01151,Indian Orchard,MA,42.1526,-72.5046,northern,5A,-5,744910,5.76685359,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01152,Springfield,MA,42.1028,-72.5921,northern,5A,-5,744910,11.85549176,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01302,Greenfield,MA,42.5878,-72.6003,northern,5A,-5,744910,43.47411394,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01341,Conway,MA,42.5066,-72.7087,northern,5A,-5,744910,37.02351105,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01342,Deerfield,MA,42.5381,-72.6067,northern,5A,-5,744910,38.07943128,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01347,Lake Pleasant,MA,42.5567,-72.5186,northern,5A,-5,744910,39.68086322,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01351,Montague,MA,42.5391,-72.5186,northern,5A,-5,744910,37.72475248,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01355,New Salem,MA,42.4495,-72.3314,northern,5A,-5,744910,32.31668149,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01373,South Deerfield,MA,42.4698,-72.6164,northern,5A,-5,744910,30.7736585,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01375,Sunderland,MA,42.4651,-72.5539,northern,5A,-5,744910,29.52779553,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
06075,Stafford,CT,41.9848,-72.2896,northern,5A,-5,744910,31.24042216,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
06076,Stafford Springs,CT,41.9885,-72.2592,northern,5A,-5,744910,32.61077697,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
06077,Staffordville,CT,41.9938,-72.2594,northern,5A,-5,744910,32.17611999,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01005,Barre,MA,42.4202,-72.106,northern,5A,-5,725095,25.44621202,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01031,Gilbertville,MA,42.3533,-72.2125,northern,5A,-5,725095,29.28709957,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01037,Hardwick,MA,42.3503,-72.2001,northern,5A,-5,725095,28.21504362,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01068,Oakham,MA,42.35,-72.0468,northern,5A,-5,725095,16.80614489,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01074,South Barre,MA,42.3824,-72.0998,northern,5A,-5,725095,22.43152263,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01083,Warren,MA,42.1986,-72.1719,northern,5A,-5,725095,25.52136346,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01094,Wheelwright,MA,42.3517,-72.1405,northern,5A,-5,725095,23.70166597,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01366,Petersham,MA,42.4757,-72.2015,northern,5A,-5,725095,35.40551086,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01420,Fitchburg,MA,42.5924,-71.8176,northern,5A,-5,725095,36.49891372,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01434,Devens,MA,42.5434,-71.6158,northern,5A,-5,725095,37.43004849,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01438,East Templeton,MA,42.5631,-72.0378,northern,5A,-5,725095,35.50309866,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
