field_location	field_name	units	field_description
metadata_and_annual	out.electricity.permanent_spa_pump.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.hot_water.energy_consumption..kwh	kwh	Excludes recirc pump and solar thermal pump
metadata_and_annual	out.electricity.hot_water_solar_th.energy_consumption..kwh	kwh	Non-zero only when using detailed (not simple) solar thermal inputs
metadata_and_annual	out.electricity.lighting_exterior.energy_consumption..kwh	kwh	Includes exterior holiday lighting
metadata_and_annual	out.electricity.lighting_garage.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.lighting_interior.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.mech_vent.energy_consumption..kwh	kwh	Excludes preheating/precooling
metadata_and_annual	out.electricity.plug_loads.energy_consumption..kwh	kwh	Excludes independently reported plug loads (e.g., well pump)
metadata_and_annual	out.electricity.pool_heater.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.pool_pump.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.pv.energy_consumption..kwh	kwh	Negative value for any power produced
metadata_and_annual	out.electricity.range_oven.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.refrigerator.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.television.energy_consumption..kwh	kwh	
metadata_and_annual	out.electricity.well_pump.energy_consumption..kwh	kwh	
metadata_and_annual	out.fuel_oil.heating.energy_consumption..kwh	kwh	Excludes heat pump backup
metadata_and_annual	out.fuel_oil.hot_water.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.clothes_dryer.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.fireplace.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.grill.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.heating.energy_consumption..kwh	kwh	Excludes heat pump backup
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.hot_water.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.lighting.energy_consumption..kwh	kwh	
